Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,,Mean.SRm
T1-B5-3,1-bb,1-B5-bb,1,B5,b,b,bb,3,3,10,,,,1,2,3,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,62.8
T1-B6-1,1-bb,1-B6-bb,1,B6,b,b,bb,1,1,10,,,,,1,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,59.2
T1-B6-2,1-bb,1-B6-bb,1,B6,b,b,bb,2,2,10,,,1,5,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,52
T1-B6-3,1-bb,1-B6-bb,1,B6,b,b,bb,3,3,10,,,,1,1,4,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,58
T2-A1-a1,2-aa,2-A1-aa,2,A1,a,a,aa,1,,10,2,2,5,5,5,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,42.4
T2-A1-a2,2-aa,2-A1-aa,2,A1,a,a,aa,2,,10,0,0,0,2,2,4,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,57.6
T2-A1-a3,2-aa,2-A1-aa,2,A1,a,a,aa,3,,10,0,0,0,2,3,4,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,59.2
T2-A1-b1,2-ab,2-A1-ab,2,A1,a,b,ab,1,,10,0,0,0,5,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,44.8
T2-A1-b2,2-ab,2-A1-ab,2,A1,a,b,ab,2,,9,0,0,0,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,43.55555556
T2-A1-b3,2-ab,2-A1-ab,2,A1,a,b,ab,3,,10,0,0,1,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,41.2
T2-A2-a1,2-aa,2-A2-aa,2,A2,a,a,aa,1,,10,1,1,1,1,1,2,4,5,5,10,10,10,10,10,10,10,10,10,10,10,10,,,,,68.4
T2-A2-a2,2-aa,2-A2-aa,2,A2,a,a,aa,2,,10,0,1,2,5,6,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46.4
T2-A2-a3,2-aa,2-A2-aa,2,A2,a,a,aa,3,,10,1,1,1,3,3,3,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,,58.8
T2-A2-b1,2-ab,2-A2-ab,2,A2,a,b,ab,1,,10,0,0,1,3,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,47.2
T2-A2-b2,2-ab,2-A2-ab,2,A2,a,b,ab,2,,10,0,0,0,3,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,50.8
T2-A2-b3,2-ab,2-A2-ab,2,A2,a,b,ab,3,,10,0,0,0,2,3,5,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,56.8
T2-A3-a1,2-aa,2-A3-aa,2,A3,a,a,aa,1,,10,0,0,0,2,3,3,5,7,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,62
T2-A3-a2,2-aa,2-A3-aa,2,A3,a,a,aa,2,,10,0,0,0,0,2,5,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,,60.4
T2-A3-a3,2-aa,2-A3-aa,2,A3,a,a,aa,3,,10,0,0,1,2,2,3,5,5,8,9,9,9,10,10,10,10,10,10,10,10,10,,,,,65.6
T2-A3-b1,2-ab,2-A3-ab,2,A3,a,b,ab,1,,10,0,0,0,5,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,45.6
T2-A3-b2,2-ab,2-A3-ab,2,A3,a,b,ab,2,,10,0,1,2,5,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,44.8
T2-A3-b3,2-ab,2-A3-ab,2,A3,a,b,ab,3,,10,0,0,1,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,42
T2-A4-a1,2-aa,2-A4-aa,2,A4,a,a,aa,1,,10,0,1,2,3,5,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,52.4
T2-A4-a2,2-aa,2-A4-aa,2,A4,a,a,aa,2,,10,1,1,2,3,4,5,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,,52.8
T2-A4-a3,2-aa,2-A4-aa,2,A4,a,a,aa,3,,10,0,0,0,3,3,5,7,7,8,9,9,10,10,10,10,10,10,10,10,10,10,,,,,60
T2-A4-b1,2-ab,2-A4-ab,2,A4,a,b,ab,1,,10,0,0,0,3,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46.4
T2-A4-b2,2-ab,2-A4-ab,2,A4,a,b,ab,2,,10,0,0,0,3,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,51.2
T2-A4-b3,2-ab,2-A4-ab,2,A4,a,b,ab,3,,10,0,0,0,3,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46
T2-A5-a1,2-aa,2-A5-aa,2,A5,a,a,aa,1,,10,0,0,0,2,2,3,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,,,,,62.8
T2-A5-a2,2-aa,2-A5-aa,2,A5,a,a,aa,2,,10,0,0,0,1,1,4,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,59.6
T2-A5-a3,2-aa,2-A5-aa,2,A5,a,a,aa,3,,10,0,2,2,5,6,7,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,,,,,50.4
T2-A5-b1,2-ab,2-A5-ab,2,A5,a,b,ab,1,,10,0,0,0,1,3,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,55.6
T2-A5-b2,2-ab,2-A5-ab,2,A5,a,b,ab,2,,10,0,1,1,3,4,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,49.6
T2-A5-b3,2-ab,2-A5-ab,2,A5,a,b,ab,3,,10,0,0,0,2,3,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,50.8
T2-A6-a1,2-aa,2-A6-aa,2,A6,a,a,aa,1,,10,0,0,0,1,2,3,4,4,5,7,8,9,10,10,10,10,10,10,10,10,10,,,,,74.4
T2-A6-a2,2-aa,2-A6-aa,2,A6,a,a,aa,2,,10,0,0,0,0,1,2,5,6,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,66.4
T2-A6-a3,2-aa,2-A6-aa,2,A6,a,a,aa,3,,10,0,0,0,3,4,5,5,6,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,58.4
T2-A6-b1,2-ab,2-A6-ab,2,A6,a,b,ab,1,,10,1,1,1,5,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,47.2
T2-A6-b2,2-ab,2-A6-ab,2,A6,a,b,ab,2,,10,0,0,0,2,3,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,52.8
T2-A6-b3,2-ab,2-A6-ab,2,A6,a,b,ab,3,,10,0,0,2,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,41.6
T2-B1-a1,2-ba,2-B1-ba,2,B1,b,a,ba,1,,10,1,1,1,5,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,43.2
T2-B1-a2,2-ba,2-B1-ba,2,B1,b,a,ba,2,,10,0,1,2,4,4,6,7,7,9,9,9,9,9,10,10,10,10,10,10,10,10,,,,,54.4
T2-B1-a3,2-ba,2-B1-ba,2,B1,b,a,ba,3,,10,0,0,2,6,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,,,,,50
T2-B1-b1,2-bb,2-B1-bb,2,B1,b,b,bb,1,,10,0,0,0,4,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,48.8
T2-B1-b2,2-bb,2-B1-bb,2,B1,b,b,bb,2,,10,1,2,2,4,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,43.2
T2-B1-b3,2-bb,2-B1-bb,2,B1,b,b,bb,3,,9,0,1,1,5,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,45.33333333
T2-B2-a1,2-ba,2-B2-ba,2,B2,b,a,ba,1,,10,0,0,1,4,4,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,49.6
T2-B2-a2,2-ba,2-B2-ba,2,B2,b,a,ba,2,,10,0,1,2,3,3,4,6,8,8,9,9,9,9,9,9,9,10,10,10,10,10,,,,,62.4
T2-B2-a3,2-ba,2-B2-ba,2,B2,b,a,ba,3,,10,0,0,0,3,4,4,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,,60
T2-B2-b1,2-bb,2-B2-bb,2,B2,b,b,bb,1,,10,0,0,0,1,1,3,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,61.2
T2-B2-b2,2-bb,2-B2-bb,2,B2,b,b,bb,2,,10,0,0,1,4,4,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,51.6
T2-B2-b3,2-bb,2-B2-bb,2,B2,b,b,bb,3,,10,0,0,0,2,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,48.8
T2-B3-a1,2-ba,2-B3-ba,2,B3,b,a,ba,1,,10,0,0,1,3,4,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,51.6
T2-B3-a2,2-ba,2-B3-ba,2,B3,b,a,ba,2,,10,0,2,2,2,2,3,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,,,,,62.4
T2-B3-a3,2-ba,2-B3-ba,2,B3,b,a,ba,3,,10,1,2,3,4,4,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46.4
T2-B3-b1 ,2-bb,2-B3-bb,2,B3,b,b,bb,1, ,10,0,0,2,3,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46.4
T2-B3-b2,2-bb,2-B3-bb,2,B3,b,b,bb,2,,10,0,1,1,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,46
T2-B3-b3,2-bb,2-B3-bb,2,B3,b,b,bb,3,,10,0,1,1,5,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,40.8
T2-B4-a1,2-ba,2-B4-ba,2,B4,b,a,ba,1,,10,0,0,0,0,1,2,5,7,7,10,10,10,10,10,10,10,10,10,10,10,10,,,,,68.4
T2-B4-a2,2-ba,2-B4-ba,2,B4,b,a,ba,2,,10,0,0,0,3,2,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,62.4
T2-B4-a3,2-ba,2-B4-ba,2,B4,b,a,ba,3,,10,0,0,0,2,2,3,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,61.2
T2-B4-b1,2-bb,2-B4-bb,2,B4,b,b,bb,1,,10,1,2,2,5,5,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,44.8
T2-B4-b2,2-bb,2-B4-bb,2,B4,b,b,bb,2,,10,0,0,0,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,52
T2-B4-b3,2-bb,2-B4-bb,2,B4,b,b,bb,3,,10,0,1,1,2,3,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,50.4
T2-B5-a1,2-ba,2-B5-ba,2,B5,b,a,ba,1,,10,0,1,1,2,4,4,7,8,9,8,9,9,10,10,10,10,10,10,10,10,10,,,,,68.4
T2-B5-a2,2-ba,2-B5-ba,2,B5,b,a,ba,2,,10,0,0,1,3,4,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,54
T2-B5-a3,2-ba,2-B5-ba,2,B5,b,a,ba,3,,10,1,1,3,5,5,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,44
T2-B5-b1,2-bb,2-B5-bb,2,B5,b,b,bb,1,,10,0,0,0,5,6,8,10,10,10,10,10,10,10,10,,,,,,,,,,,,46.8
T2-B5-b2,2-bb,2-B5-bb,2,B5,b,b,bb,2,,10,1,3,3,4,5,7,8,8,9,10,10,10,10,10,,,,,,,,,,,,44.4
T2-B5-b3,2-bb,2-B5-bb,2,B5,b,b,bb,3,,10,0,0,0,4,6,7,9,10,10,10,10,10,10,10,,,,,,,,,,,,49.2
T2-B6-a1,2-ba,2-B6-ba,2,B6,b,a,ba,1,,10,2,3,5,7,7,7,7,7,8,9,9,9,10,,,,,,,,,,,,,42
T2-B6-a2,2-ba,2-B6-ba,2,B6,b,a,ba,2,,10,3,3,4,6,7,8,8,9,10,10,10,10,10,10,,,,,,,,,,,,33.6
T2-B6-a3,2-ba,2-B6-ba,2,B6,b,a,ba,3,,10,0,1,2,5,5,7,8,9,10,10,10,10,10,10,,,,,,,,,,,,46.4
T2-B6-b1,2-bb,2-B6-bb,2,B6,b,b,bb,1,,10,0,0,0,1,1,5,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,55.2
T2-B6-b2,2-bb,2-B6-bb,2,B6,b,b,bb,2,,10,0,0,1,5,5,6,8,9,10,10,10,10,10,10,10,10,,,,,,,,,,50
T2-B6-b3,2-bb,2-B6-bb,2,B6,b,b,bb,3,,10,0,0,0,3,4,6,9,9,10,10,10,10,10,10,10,10,,,,,,,,,,52.4
T3-A1-1,3-aa,3-A1-aa,3,A1,a,a,aa,1,1,10,,,,3,4,4,5,5,6,8,9,9,10,,,,,,,,,,,,,68
T3-A1-2,3-aa,3-A1-aa,3,A1,a,a,aa,2,2,10,,,1,2,2,4,7,8,8,10,,,,,,,,,,,,,,,,59.6
T3-A1-3,3-aa,3-A1-aa,3,A1,a,a,aa,3,3,10,,,,3,3,3,6,6,8,10,,,,,,,,,,,,,,,,63.2
T3-A2-1,3-aa,3-A2-aa,3,A2,a,a,aa,1,1,10,,,1,2,2,7,7,7,9,9,9,10,,,,,,,,,,,,,,54.4
T3-A2-2,3-aa,3-A2-aa,3,A2,a,a,aa,2,2,10,,,,3,3,3,6,7,8,10,,,,,,,,,,,,,,,,62.8
T3-A2-3,3-aa,3-A2-aa,3,A2,a,a,aa,3,3,10,,,,2,2,2,3,4,6,9,10,,,,,,,,,,,,,,,71.2
T3-A3-1,3-aa,3-A3-aa,3,A3,a,a,aa,1,1,10,,,,,1,3,6,6,6,9,9,10,,,,,,,,,,,,,,69.2
T3-A3-2,3-aa,3-A3-aa,3,A3,a,a,aa,2,2,10,,,,2,2,2,6,6,7,9,9,9,10,,,,,,,,,,,,,69.6
T3-A3-3,3-aa,3-A3-aa,3,A3,a,a,aa,3,3,10,,,,1,2,2,3,3,5,10,,,,,,,,,,,,,,,,73.2
T3-A4-1,3-aa,3-A4-aa,3,A4,a,a,aa,1,1,10,,,,2,2,3,7,8,8,9,9,10,,,,,,,,,,,,,,63.6
T3-A4-2,3-aa,3-A4-aa,3,A4,a,a,aa,2,2,10,,,,,,1,6,7,7,9,9,9,10,,,,,,,,,,,,,72.4
T3-A4-3,3-aa,3-A4-aa,3,A4,a,a,aa,3,3,10,,,,6,6,6,6,6,9,11,,,,,,,,,,,,,,,,63.2
T3-A5-1,3-aa,3-A5-aa,3,A5,a,a,aa,1,1,10,,,,1,2,2,4,4,5,9,10,,,,,,,,,,,,,,,72.8
T3-A5-2,3-aa,3-A5-aa,3,A5,a,a,aa,2,2,10,,,,1,1,2,6,7,9,10,,,,,,,,,,,,,,,,64.4
T3-A5-3,3-aa,3-A5-aa,3,A5,a,a,aa,3,3,10,,,,,,1,2,4,4,8,,,,,,,,,,,,,,,,60
T3-A6-1,3-aa,3-A6-aa,3,A6,a,a,aa,1,1,10,,,,2,3,4,5,6,7,10,,,,,,,,,,,,,,,,64
T3-A6-2,3-aa,3-A6-aa,3,A6,a,a,aa,2,2,10,,,,2,3,5,7,8,9,10,,,,,,,,,,,,,,,,57.6
T3-A6-3,3-aa,3-A6-aa,3,A6,a,a,aa,3,3,10,,,,,2,2,4,6,6,8,8,9,10,,,,,,,,,,,,,73.6
