Label,Group,Group2,Timepoint,Cage,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,Mean.SRf
T1-B6-F2,1-bb,1-B6-bb,1,B6,b,b,bb,F,2,10,,,,4,4,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51.6
T1-B6-F3,1-bb,1-B6-bb,1,B6,b,b,bb,F,3,10,,,,4,4,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51.6
T2-A1-aF1,2-aa,2-A1-aa,2,A1,a,a,aa,F,1,10,1,2,2,3,3,3,6,6,7,8,8,8,10,10,10,10,10,10,10,10,10,,,,63.6
T2-A1-aF2,2-aa,2-A1-aa,2,A1,a,a,aa,F,2,10,1,2,2,4,5,5,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,,,,54
T2-A1-aF3,2-aa,2-A1-aa,2,A1,a,a,aa,F,3,10,0,0,1,4,4,4,5,5,5,8,8,10,10,10,10,10,10,10,10,10,10,,,,66.4
T2-A1-bF1,2-ab,2-A1-ab,2,A1,a,b,ab,F,1,10,2,3,4,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,30.4
T2-A1-bF2,2-ab,2-A1-ab,2,A1,a,b,ab,F,2,10,2,2,5,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,30.8
T2-A1-bF3,2-ab,2-A1-ab,2,A1,a,b,ab,F,3,10,1,3,5,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,36
T2-A2-aF1,2-aa,2-A2-aa,2,A2,a,a,aa,F,1,10,1,1,3,5,6,6,6,6,6,8,8,8,9,9,9,10,10,10,10,10,10,,,,59.6
T2-A2-aF2,2-aa,2-A2-aa,2,A2,a,a,aa,F,2,10,0,0,1,2,2,5,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,,,,58
T2-A2-aF3,2-aa,2-A2-aa,2,A2,a,a,aa,F,3,10,3,3,5,5,6,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,,,,38.8
T2-A2-bF1,2-ab,2-A2-ab,2,A2,a,b,ab,F,1,10,1,1,3,5,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,39.6
T2-A2-bF2,2-ab,2-A2-ab,2,A2,a,b,ab,F,2,10,0,1,2,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,42.4
T2-A2-bF3,2-ab,2-A2-ab,2,A2,a,b,ab,F,3,10,1,1,2,5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,40.8
T2-A3-aF1,2-aa,2-A3-aa,2,A3,a,a,aa,F,1,10,0,1,1,1,2,2,3,3,4,4,5,7,9,10,10,10,10,10,10,10,10,,,,82.4
T2-A3-aF2,2-aa,2-A3-aa,2,A3,a,a,aa,F,2,10,1,1,2,5,5,5,6,6,7,9,10,10,10,10,10,10,10,10,10,10,10,,,,54.8
T2-A3-aF3,2-aa,2-A3-aa,2,A3,a,a,aa,F,3,10,2,2,2,2,2,3,4,4,7,8,9,9,10,10,10,10,10,10,10,10,10,,,,62
T2-A3-bF1,2-ab,2-A3-ab,2,A3,a,b,ab,F,1,10,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,16.8
T2-A3-bF2,2-ab,2-A3-ab,2,A3,a,b,ab,F,2,10,5,4,5,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,27.2
T2-A3-bF3,2-ab,2-A3-ab,2,A3,a,b,ab,F,3,10,4,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,18.4
T2-A4-aF1,2-aa,2-A4-aa,2,A4,a,a,aa,F,1,10,0,2,2,5,6,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,50.8
T2-A4-aF2,2-aa,2-A4-aa,2,A4,a,a,aa,F,2,10,2,2,3,5,5,5,6,6,6,8,8,8,9,9,9,10,10,10,10,10,10,,,,59.2
T2-A4-aF3,2-aa,2-A4-aa,2,A4,a,a,aa,F,3,10,0,1,2,4,4,5,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,,,,58.4
T2-A4-bF1,2-ab,2-A4-ab,2,A4,a,b,ab,F,1,10,0,2,2,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,37.2
T2-A4-bF2,2-ab,2-A4-ab,2,A4,a,b,ab,F,2,9,1,2,2,4,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,43.11111111
T2-A4-bF3,2-ab,2-A4-ab,2,A4,a,b,ab,F,3,12,0,2,4,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,38
T2-A5-aF1,2-aa,2-A5-aa,2,A5,a,a,aa,F,1,10,0,0,0,0,0,0,4,4,5,8,8,10,10,10,10,10,10,10,10,10,10,,,,78.4
T2-A5-aF2,2-aa,2-A5-aa,2,A5,a,a,aa,F,2,10,0,0,0,0,0,0,2,2,4,6,6,9,10,10,10,10,10,10,10,10,10,,,,84.8
T2-A5-aF3,2-aa,2-A5-aa,2,A5,a,a,aa,F,3,10,0,0,0,1,1,2,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,62.8
T2-A5-bF1,2-ab,2-A5-ab,2,A5,a,b,ab,F,1,10,0,0,0,2,4,4,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,58.4
T2-A5-bF2,2-ab,2-A5-ab,2,A5,a,b,ab,F,2,10,0,1,2,3,3,3,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,55.2
T2-A5-bF3,2-ab,2-A5-ab,2,A5,a,b,ab,F,3,10,0,2,2,5,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,46.8
T2-A6-aF1,2-aa,2-A6-aa,2,A6,a,a,aa,F,1,10,0,0,0,0,1,1,5,6,7,9,9,10,10,10,10,10,10,10,10,10,10,,,,71.2
T2-A6-aF2,2-aa,2-A6-aa,2,A6,a,a,aa,F,2,10,0,0,0,0,0,0,2,2,2,6,6,7,8,9,9,10,10,10,10,10,10,,,,94
T2-A6-aF3,2-aa,2-A6-aa,2,A6,a,a,aa,F,3,10,0,0,0,0,0,0,4,4,5,7,9,9,10,10,10,10,10,10,10,10,10,,,,80
T2-A6-bF1,2-ab,2-A6-ab,2,A6,a,b,ab,F,1,10,2,4,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,27.6
T2-A6-bF2,2-ab,2-A6-ab,2,A6,a,b,ab,F,2,10,3,5,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,27.2
T2-A6-bF3,2-ab,2-A6-ab,2,A6,a,b,ab,F,3,10,3,3,5,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,26.4
T2-B1-aF1,2-ba,2-B1-ba,2,B1,b,a,ba,F,1,10,2,3,3,3,3,4,4,4,6,8,8,8,10,10,10,10,10,10,10,10,10,,,,61.2
T2-B1-aF2,2-ba,2-B1-ba,2,B1,b,a,ba,F,2,10,3,3,4,4,4,6,6,6,6,7,8,8,10,10,10,10,10,10,10,10,10,,,,52.4
T2-B1-aF3,2-ba,2-B1-ba,2,B1,b,a,ba,F,3,10,1,1,1,3,3,3,4,4,4,7,8,9,9,9,10,10,10,10,10,10,10,,,,71.6
T2-B1-bF1,2-bb,2-B1-bb,2,B1,b,b,bb,F,1,10,0,0,0,2,3,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,53.2
T2-B1-bF2,2-bb,2-B1-bb,2,B1,b,b,bb,F,2,10,0,0,1,3,4,4,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,,,,58.8
T2-B1-bF3,2-bb,2-B1-bb,2,B1,b,b,bb,F,3,10,0,0,0,2,3,3,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,58.4
T2-B2-aF1,2-ba,2-B2-ba,2,B2,b,a,ba,F,1,10,1,3,3,4,4,5,6,6,6,7,8,8,10,10,10,10,10,10,10,10,10,,,,59.6
T2-B2-aF2,2-ba,2-B2-ba,2,B2,b,a,ba,F,2,10,0,1,1,2,4,5,5,5,5,7,8,9,10,10,10,10,10,10,10,10,10,,,,67.2
T2-B2-aF3,2-ba,2-B2-ba,2,B2,b,a,ba,F,3,10,0,0,0,2,2,3,5,6,6,8,9,9,10,10,10,10,10,10,10,10,10,,,,70.4
T2-B2-bF1,2-bb,2-B2-bb,2,B2,b,b,bb,F,1,10,0,0,0,2,2,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,58
T2-B2-bF2,2-bb,2-B2-bb,2,B2,b,b,bb,F,2,10,0,0,0,3,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,52.4
T2-B2-bF3,2-bb,2-B2-bb,2,B2,b,b,bb,F,3,9,0,0,0,1,3,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,52.44444444
T2-B3-aF1,2-ba,2-B3-ba,2,B3,b,a,ba,F,1,10,0,0,1,2,2,2,5,6,6,8,10,10,10,10,10,10,10,10,10,10,10,,,,68.4
T2-B3-aF2,2-ba,2-B3-ba,2,B3,b,a,ba,F,2,10,1,2,3,3,3,3,4,5,5,8,8,8,9,9,9,10,10,10,10,10,10,,,,68.8
T2-B3-aF3,2-ba,2-B3-ba,2,B3,b,a,ba,F,3,10,0,0,1,1,1,1,3,5,6,7,8,9,9,9,9,10,10,10,10,10,10,,,,77.2
T2-B3-bF1 ,2-bb,2-B3-bb,2,B3,b,b,bb,F,1,10,4,4,4,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,27.2
T2-B3-bF2,2-bb,2-B3-bb,2,B3,b,b,bb,F,2,10,1,2,2,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,34.4
T2-B3-bF3,2-bb,2-B3-bb,2,B3,b,b,bb,F,3,10,1,5,6,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,30.4
T2-B4-aF1,2-ba,2-B4-ba,2,B4,b,a,ba,F,1,10,0,0,0,0,0,0,1,1,2,7,7,8,9,9,10,10,10,10,10,10,10,,,,90.4
T2-B4-aF2,2-ba,2-B4-ba,2,B4,b,a,ba,F,2,10,0,0,0,0,0,1,4,5,5,7,7,7,10,10,10,10,10,10,10,10,10,,,,82
T2-B4-aF3,2-ba,2-B4-ba,2,B4,b,a,ba,F,3,10,0,0,0,0,0,0,3,5,6,8,8,8,10,10,10,10,10,10,10,10,10,,,,80
T2-B4-bF1,2-bb,2-B4-bb,2,B4,b,b,bb,F,1,10,0,0,0,1,1,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,56.4
T2-B4-bF2,2-bb,2-B4-bb,2,B4,b,b,bb,F,2,10,0,0,0,2,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,57.2
T2-B4-bF3,2-bb,2-B4-bb,2,B4,b,b,bb,F,3,10,0,0,0,4,5,5,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,47.2
T2-B5-aF1,2-ba,2-B5-ba,2,B5,b,a,ba,F,1,10,0,1,1,1,1,1,4,5,5,8,9,9,9,9,9,9,9,9,9,9,9,,,,63.6
T2-B5-aF2,2-ba,2-B5-ba,2,B5,b,a,ba,F,2,11,0,1,3,3,3,3,6,6,8,10,10,11,11,11,11,11,11,11,11,11,11,,,,61.45454545
T2-B5-aF3,2-ba,2-B5-ba,2,B5,b,a,ba,F,3,10,0,0,0,0,1,1,4,4,5,8,8,8,10,10,10,10,10,10,10,10,10,,,,79.6
T2-B5-bF1,2-bb,2-B5-bb,2,B5,b,b,bb,F,1,10,0,3,3,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,38.8
T2-B5-bF2,2-bb,2-B5-bb,2,B5,b,b,bb,F,2,10,5,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,16
T2-B5-bF3,2-bb,2-B5-bb,2,B5,b,b,bb,F,3,10,2,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,19.2
T2-B6-aF1,2-ba,2-B6-ba,2,B6,b,a,ba,F,1,10,1,1,1,3,4,4,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,,,,58
T2-B6-aF2,2-ba,2-B6-ba,2,B6,b,a,ba,F,2,10,4,5,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,25.2
T2-B6-aF3,2-ba,2-B6-ba,2,B6,b,a,ba,F,3,10,1,1,1,5,5,5,6,7,7,8,8,8,10,10,10,10,10,10,10,10,10,,,,60.4
T2-B6-bF1,2-bb,2-B6-bb,2,B6,b,b,bb,F,1,10,0,2,4,6,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,43.2
T2-B6-bF2,2-bb,2-B6-bb,2,B6,b,b,bb,F,2,10,0,0,1,5,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,48.8
T2-B6-bF3,2-bb,2-B6-bb,2,B6,b,b,bb,F,3,10,0,1,3,5,6,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,40.8
T3-A1-F1,3-aa,3-A1-aa,3,A1,a,a,aa,F,1,10,,,,1,2,2,4,5,5,9,9,9,10,,,,,,,,,,,,74.4
T3-A1-F2,3-aa,3-A1-aa,3,A1,a,a,aa,F,2,10,,,,2,4,6,6,7,7,10,,,,,,,,,,,,,,,59.6
T3-A1-F3,3-aa,3-A1-aa,3,A1,a,a,aa,F,3,10,,,,2,2,4,6,8,8,10,,,,,,,,,,,,,,,61.6
T3-A2-F1,3-aa,3-A2-aa,3,A2,a,a,aa,F,1,10,,,,2,2,3,5,5,5,9,9,10,,,,,,,,,,,,,70.4
T3-A2-F2,3-aa,3-A2-aa,3,A2,a,a,aa,F,2,10,,,,1,2,2,4,4,5,9,9,9,10,,,,,,,,,,,,74.8
T3-A2-F3,3-aa,3-A2-aa,3,A2,a,a,aa,F,3,10,,,,1,3,3,5,5,5,8,8,8,9,9,,,,,,,,,,,63.2
T3-A3-F1,3-aa,3-A3-aa,3,A3,a,a,aa,F,1,10,,,,,,1,5,5,6,8,8,9,10,,,,,,,,,,,,76
T3-A3-F2,3-aa,3-A3-aa,3,A3,a,a,aa,F,2,10,,,,,,,1,1,4,8,9,10,,,,,,,,,,,,,82
T3-A3-F3,3-aa,3-A3-aa,3,A3,a,a,aa,F,3,10,,,,,,,4,5,6,9,9,9,10,,,,,,,,,,,,77.2
T3-A4-F1,3-aa,3-A4-aa,3,A4,a,a,aa,F,1,10,,,,1,2,3,5,5,8,9,10,,,,,,,,,,,,,,65.6
T3-A4-F2,3-aa,3-A4-aa,3,A4,a,a,aa,F,2,10,,,,2,2,3,5,5,8,9,9,10,,,,,,,,,,,,,65.6
T3-A4-F3,3-aa,3-A4-aa,3,A4,a,a,aa,F,3,10,,,,2,3,5,6,7,9,10,,,,,,,,,,,,,,,58.4
T3-A5-F1,3-aa,3-A5-aa,3,A5,a,a,aa,F,1,10,,,,1,2,2,5,7,7,10,,,,,,,,,,,,,,,67.6
T3-A5-F2,3-aa,3-A5-aa,3,A5,a,a,aa,F,2,10,,,,,,,4,4,4,8,8,9,10,,,,,,,,,,,,81.6
T3-A5-F3,3-aa,3-A5-aa,3,A5,a,a,aa,F,3,10,,,,1,2,4,7,7,7,9,10,,,,,,,,,,,,,,64
T3-A6-F1,3-aa,3-A6-aa,3,A6,a,a,aa,F,1,10,,,,1,2,3,8,7,8,10,,,,,,,,,,,,,,,70
