Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Length 1,Length 2,Length 3,Length 4,Length 5,Length 6,Length 7,Length 8,Length 9,Length 10,Length 11,Length 12,Mean.TL,SE.TL
T4B5b,4-bb,4-B5-bb,4,B5,b,b,bb,1452.26,1417.9,1355.46,1341.76,1337.14,1317.32,1313.47,1306.42,1296.6,1295.13,1291.05,1219.28,1328.649167,17.53504
T4B6b,4-bb,4-B6-bb,4,B6,b,b,bb,1382.96,1277.55,1266.41,1257.11,1255.38,1247.58,1240.19,1223.69,1208.65,1197,1172.55,1154.1,1240.264167,17.00203974
T4B1a,4-ba,4-B1-ba,4,B1,b,a,ba,1306.08,1287.65,1247.08,1241.53,1225.01,1214.57,1211.53,1192.28,1185.56,1174.8,1174.21,1148.89,1217.4325,13.59068465
T4B2a,4-ba,4-B2-ba,4,B2,b,a,ba,1309.24,1265,1257.01,1238.65,1217.32,1195.61,1193.55,1191.25,1188.57,1184.38,1150.16,1132.98,1210.31,14.41131232
T4B3b,4-ba,4-B3-ba,4,B3,b,a,ba,1319.49,1308.31,1283.91,1261.32,1255.41,1254.98,1238.61,1203,1197.45,1195,1179.62,1172.6,1239.141667,14.35890426
T4B4b,4-ba,4-B4-ba,4,B4,b,a,ba,1290.85,1264.1,1233.54,1232.54,1220.87,1215.61,1213.14,1209.7,1190.05,1184.51,1181.11,1118.35,1212.864167,12.57370696
T4B5b,4-ba,4-B5-ba,4,B5,b,a,ba,1346.62,1332.01,1331.73,1287.66,1269.41,1268.31,1237.37,1219.29,1205.12,1195.93,1193.49,1141.33,1252.355833,18.63677675
T4B6b,4-ba,4-B6-ba,4,B6,b,a,ba,1328.53,1322.43,1301.42,1298.66,1265.03,1292.69,1276.77,1269.88,1247.12,1243.57,1202.1,1148.48,1266.39,14.8252029
T5B1,5-bb,5-B1-bb,5,B1,b,b,bb,1115.107198,1156.759969,1163.79922,1197.011539,1198.586798,1316.787758,1334.336727,1341.690026,1349.51049,1357.029569,1371.65468,1382.571901,1273.737156,28.43429356
T5B2,5-bb,5-B2-bb,5,B2,b,b,bb,1226.41984,1265.555856,1274.197002,1297.967955,1314.678335,1318.868004,1342.104248,1358.511134,1359.879866,1361.227778,1376.34684,1396.894435,1324.387608,14.68169446
T5B3,5-bb,5-B3-bb,5,B3,b,b,bb,1131.400266,1165.201967,1246.966569,1263.953371,1264.001236,1266.114455,1272.192325,1282.508723,1289.515437,1322.086632,1333.160179,1343.109685,1265.017571,18.07018723
T5B4,5-bb,5-B4-bb,5,B4,b,b,bb,1085.522225,1097.36027,1129.738023,1160.467417,1175.727115,1193.718586,1212.846651,1212.999407,1298.713522,1328.876146,1333.40975,1344.55878,1214.494824,26.63301659
T5B5,5-bb,5-B5-bb,5,B5,b,b,bb,1176.424801,1197.062081,1203.432175,1211.249355,1236.879567,1296.825475,1311.597213,1312.444523,1318.97408,1326.201578,1333.353034,1350.451614,1272.907958,18.10099587
T5B6,5-bb,5-B6-bb,5,B6,b,b,bb,1119.901837,1223.011294,1237.185238,1255.163386,1270.404758,1271.112947,1313.533117,1313.619475,1321.334222,1343.816138,1348.857479,1373.398567,1282.611538,20.02246913
T5A1,5-aa,5-A1-aa,5,A1,a,a,aa,1061.841914,1067.12757,1124.61888,1126.627711,1160.187162,1204.016455,1212.653341,1238.3461,1243.769397,1277.474902,1283.979093,1295.393039,1191.336297,23.7106921
T5A2,5-aa,5-A2-aa,5,A2,a,a,aa,1066.294548,1104.51791,1194.279124,1210.025,1233.60108,1241.496325,1244.629463,1266.965321,1268.611692,1281.243268,1294.458622,1302.983547,1225.758825,21.20037841
T5A3,5-aa,5-A3-aa,5,A3,a,a,aa,1176.357301,1178.310019,1261.725654,1287.237959,1298.235943,1300.991257,1304.859787,1322.392623,1350.493613,1366.617197,1376.434751,1401.995743,1302.137654,20.49222493
T5A4,5-aa,5-A4-aa,5,A4,a,a,aa,1137.476593,1147.462009,1168.75,1182.129012,1221.229145,1229.597546,1236.072232,1242.543611,1256.361811,1258.205394,1265.254051,1283.622705,1219.058676,13.99669328
T5A5,5-aa,5-A5-aa,5,A5,a,a,aa,1149.384863,1211.124478,1226.018964,1230.335371,1232.306881,1283.711075,1285.674264,1291.422956,1296.793401,1299.077413,1309.93559,1322.775727,1261.546749,14.80206903
T5A6,5-aa,5-A6-aa,5,A6,a,a,aa,1128.405125,1145.298242,1159.329682,1194.424757,1208.940161,1224.772326,1246.781582,1252.506512,1281.210804,1284.800471,1307.083418,1312.914054,1228.872261,18.14123432
